game_id,date,game_status,home_name,home_id,home_score,away_name,away_id,away_score,venue_full_name,season_id,game_type,is_postseason,month,day,year
226,2025-12-17 03:00:00+00:00,Final,Vancouver Goldeneyes,9,2,Ottawa Charge,5,1,Pacific Coliseum | Vancouver,8,,,12,17,2025
227,2025-12-17 23:30:00+00:00,Final SO,Toronto Sceptres,6,1,Montréal Victoire,3,2,Scotiabank Centre | Halifax,8,,,12,17,2025
228,2025-12-18 00:00:00+00:00,Final,New York Sirens,4,0,Boston Fleet,1,2,Prudential Center | Newark,8,,,12,18,2025
229,2025-12-18 03:00:00+00:00,Final,Seattle Torrent,8,4,Ottawa Charge,5,1,Climate Pledge Arena | Seattle,8,,,12,18,2025
230,2025-12-20 01:00:00+00:00,Final,Minnesota Frost,2,5,Boston Fleet,1,2,Grand Casino Arena | St. Paul,8,,,12,20,2025
231,2025-12-20 20:00:00+00:00,Final,Vancouver Goldeneyes,9,2,Montréal Victoire,3,4,Pacific Coliseum | Vancouver,8,,,12,20,2025
232,2025-12-21 17:00:00+00:00,Final,New York Sirens,4,3,Toronto Sceptres,6,4,Prudential Center | Newark,8,,,12,21,2025
233,2025-12-21 19:00:00+00:00,Final 1st OT,Minnesota Frost,2,2,Ottawa Charge,5,3,Allstate Arena | Chicago,8,,,12,21,2025
234,2025-12-21 22:00:00+00:00,Final,Seattle Torrent,8,1,Boston Fleet,1,3,Climate Pledge Arena | Seattle,8,,,12,21,2025
235,2025-12-24 00:00:00+00:00,Final 1st OT,Toronto Sceptres,6,3,Ottawa Charge,5,4,Coca-Cola Coliseum | Toronto,8,,,12,24,2025
236,2025-12-24 03:00:00+00:00,Final,Seattle Torrent,8,2,Montréal Victoire,3,1,Climate Pledge Arena | Seattle,8,,,12,24,2025
237,2025-12-27 17:00:00+00:00,Final SO,Ottawa Charge,5,3,Boston Fleet,1,2,TD Place | Ottawa,8,,,12,27,2025
238,2025-12-27 19:00:00+00:00,Final,Montréal Victoire,3,1,Toronto Sceptres,6,2,Bell Centre | Montréal,8,,,12,27,2025
239,2025-12-27 20:00:00+00:00,Final 1st OT,Vancouver Goldeneyes,9,1,Minnesota Frost,2,2,Rogers Place | Edmonton,8,,,12,27,2025
240,2025-12-28 23:00:00+00:00,Final,New York Sirens,4,4,Seattle Torrent,8,3,American Airlines Center | Dallas,8,,,12,28,2025
241,2025-12-31 00:00:00+00:00,Final,Toronto Sceptres,6,1,Minnesota Frost,2,5,Coca-Cola Coliseum | Toronto,8,,,12,31,2025
242,2025-12-31 18:00:00+00:00,Final,New York Sirens,4,2,Vancouver Goldeneyes,9,0,Prudential Center | Newark,8,,,12,31,2025
243,2026-01-02 18:00:00+00:00,Final,New York Sirens,4,4,Montréal Victoire,3,3,Prudential Center | Newark,8,,,1,2,2026
244,2026-01-03 18:00:00+00:00,Final,Ottawa Charge,5,5,Minnesota Frost,2,2,TD Place | Ottawa,8,,,1,3,2026
245,2026-01-03 19:00:00+00:00,Final SO,Toronto Sceptres,6,2,Seattle Torrent,8,3,TD Coliseum | Hamilton,8,,,1,3,2026
246,2026-01-04 00:00:00+00:00,Final,Boston Fleet,1,3,Vancouver Goldeneyes,9,4,Little Caesars Arena | Detroit,8,,,1,4,2026
247,2026-01-04 19:00:00+00:00,Final 1st OT,Montréal Victoire,3,3,Minnesota Frost,2,2,Place Bell | Laval,8,,,1,4,2026
248,2026-01-07 00:00:00+00:00,Final,Toronto Sceptres,6,0,New York Sirens,4,2,Coca-Cola Coliseum | Toronto,8,,,1,7,2026
250,2026-01-08 00:00:00+00:00,Final,Boston Fleet,1,2,Seattle Torrent,8,1,Agganis Arena | Boston,8,,,1,8,2026
249,2026-01-10 00:00:00+00:00,Final,Ottawa Charge,5,4,Vancouver Goldeneyes,9,2,TD Place | Ottawa,8,,,1,10,2026
251,2026-01-11 17:00:00+00:00,Final SO,Boston Fleet,1,1,Ottawa Charge,5,2,Scotiabank Centre | Halifax,8,,,1,11,2026
252,2026-01-11 19:00:00+00:00,Final,Minnesota Frost,2,6,Seattle Torrent,8,2,Grand Casino Arena | St. Paul,8,,,1,11,2026
253,2026-01-11 19:00:00+00:00,Final,Montréal Victoire,3,1,Vancouver Goldeneyes,9,0,Videotron Centre | Quebec City,8,,,1,11,2026
254,2026-01-14 00:00:00+00:00,Final,Montréal Victoire,3,2,Ottawa Charge,5,1,Place Bell | Laval,8,,,1,14,2026
255,2026-01-15 00:00:00+00:00,Final,Boston Fleet,1,2,Toronto Sceptres,6,1,Tsongas Center | Lowell,8,,,1,15,2026
256,2026-01-17 00:00:00+00:00,Final 1st OT,New York Sirens,4,2,Minnesota Frost,2,3,Prudential Center | Newark,8,,,1,17,2026
257,2026-01-17 20:00:00+00:00,Final 1st OT,Toronto Sceptres,6,2,Vancouver Goldeneyes,9,1,Scotiabank Arena | Toronto,8,,,1,17,2026
258,2026-01-18 19:00:00+00:00,Final,New York Sirens,4,2,Montréal Victoire,3,1,Capital One Arena | Washington,8,,,1,18,2026
259,2026-01-19 03:00:00+00:00,Final SO,Seattle Torrent,8,1,Boston Fleet,1,2,Climate Pledge Arena | Seattle,8,,,1,19,2026
260,2026-01-21 00:00:00+00:00,Final 1st OT,New York Sirens,4,3,Ottawa Charge,5,4,Prudential Center | Newark,8,,,1,21,2026
261,2026-01-21 03:00:00+00:00,Final,Seattle Torrent,8,6,Toronto Sceptres,6,4,Climate Pledge Arena | Seattle,8,,,1,21,2026
