game_id,date,name,short_name,home_name,home_id,home_score,away_name,away_id,away_score,status,venue_full_name,season,is_postseason,month,day,year
609459,2021-09-25 15:00:00+00:00,Nice at Saint-Étienne,NICE @ ASSE,Saint-Étienne,178,0,Nice,2502,3,STATUS_FULL_TIME,Stade Geoffroy-Guichard,2021-2022,0,9,25,2021
609454,2021-09-25 17:00:00+00:00,Lille at Strasbourg,LILL @ STR,Strasbourg,180,1,Lille,166,2,STATUS_FULL_TIME,Stade de la Meinau,2021-2022,0,9,25,2021
609455,2021-09-25 19:00:00+00:00,Lorient at Lyon,LOR @ LYON,Lyon,167,1,Lorient,273,1,STATUS_FULL_TIME,Groupama Stadium,2021-2022,0,9,25,2021
609457,2021-09-25 19:00:00+00:00,Montpellier at Paris Saint-Germain,MON @ PSG,Paris Saint-Germain,160,2,Montpellier,274,0,STATUS_FULL_TIME,Parc des Princes,2021-2022,0,9,25,2021
609460,2021-09-26 11:00:00+00:00,Stade Rennais at Bordeaux,REN @ BOR,Bordeaux,159,1,Stade Rennais,169,1,STATUS_FULL_TIME,Stade Atlantique,2021-2022,0,9,26,2021
609456,2021-09-26 13:00:00+00:00,Metz at Brest,METZ @ BRE,Brest,6997,1,Metz,177,2,STATUS_FULL_TIME,Stade Francis-Le Blé,2021-2022,0,9,26,2021
609458,2021-09-26 13:00:00+00:00,Nantes at Stade de Reims,NAN @ REIM,Stade de Reims,3243,3,Nantes,165,1,STATUS_FULL_TIME,Stade Auguste-Delaune II,2021-2022,0,9,26,2021
609452,2021-09-26 13:00:00+00:00,Angers at Troyes,ANG @ TRY,Troyes,170,1,Angers,7868,1,STATUS_FULL_TIME,Stade de l'Aube,2021-2022,0,9,26,2021
609451,2021-09-26 15:00:00+00:00,AS Monaco at Clermont Foot,MON @ CLE,Clermont Foot,3171,1,AS Monaco,174,3,STATUS_FULL_TIME,Stade Gabriel-Montpied,2021-2022,0,9,26,2021
609453,2021-09-26 18:45:00+00:00,Lens at Marseille,RCL @ OLM,Marseille,176,2,Lens,175,3,STATUS_FULL_TIME,Orange Vélodrome,2021-2022,0,9,26,2021
609448,2021-10-01 19:00:00+00:00,Stade de Reims at Lens,REIM @ RCL,Lens,175,2,Stade de Reims,3243,0,STATUS_FULL_TIME,Stade Félix Bollaert-Delélis,2021-2022,0,10,1,2021
609449,2021-10-02 15:00:00+00:00,Strasbourg at Montpellier,STR @ MON,Montpellier,274,1,Strasbourg,180,1,STATUS_FULL_TIME,Stade de la Mosson,2021-2022,0,10,2,2021
609442,2021-10-02 19:00:00+00:00,Brest at Nice,BRE @ NICE,Nice,2502,2,Brest,6997,1,STATUS_FULL_TIME,Allianz Riviera,2021-2022,0,10,2,2021
609447,2021-10-03 11:00:00+00:00,Paris Saint-Germain at Stade Rennais,PSG @ REN,Stade Rennais,169,2,Paris Saint-Germain,160,0,STATUS_FULL_TIME,Roazhon Park,2021-2022,0,10,3,2021
609446,2021-10-03 13:00:00+00:00,Metz at Angers,METZ @ ANG,Angers,7868,3,Metz,177,2,STATUS_FULL_TIME,Stade Raymond Kopa,2021-2022,0,10,3,2021
609441,2021-10-03 13:00:00+00:00,Bordeaux at AS Monaco,BOR @ MON,AS Monaco,174,3,Bordeaux,159,0,STATUS_FULL_TIME,Stade Louis II,2021-2022,0,10,3,2021
609443,2021-10-03 13:00:00+00:00,Clermont Foot at Lorient,CLE @ LOR,Lorient,273,1,Clermont Foot,3171,1,STATUS_FULL_TIME,Stade du Moustoir - Yves Allainmat,2021-2022,0,10,3,2021
609450,2021-10-03 13:00:00+00:00,Troyes at Nantes,TRY @ NAN,Nantes,165,2,Troyes,170,0,STATUS_FULL_TIME,La Beaujoire-Louis-Fonteneau,2021-2022,0,10,3,2021
609445,2021-10-03 15:00:00+00:00,Marseille at Lille,OLM @ LILL,Lille,166,2,Marseille,176,0,STATUS_FULL_TIME,Decathlon Arena - Stade Pierre-Mauroy,2021-2022,0,10,3,2021
609444,2021-10-03 18:45:00+00:00,Lyon at Saint-Étienne,LYON @ ASSE,Saint-Étienne,178,1,Lyon,167,1,STATUS_FULL_TIME,Stade Geoffroy-Guichard,2021-2022,0,10,3,2021
609432,2021-10-15 19:00:00+00:00,Angers at Paris Saint-Germain,ANG @ PSG,Paris Saint-Germain,160,2,Angers,7868,1,STATUS_FULL_TIME,Parc des Princes,2021-2022,0,10,15,2021
609434,2021-10-16 15:00:00+00:00,Lille at Clermont Foot,LILL @ CLE,Clermont Foot,3171,1,Lille,166,0,STATUS_FULL_TIME,Stade Gabriel-Montpied,2021-2022,0,10,16,2021
609431,2021-10-16 19:00:00+00:00,AS Monaco at Lyon,MON @ LYON,Lyon,167,2,AS Monaco,174,0,STATUS_FULL_TIME,Groupama Stadium,2021-2022,0,10,16,2021
