game_id,date,month,day,year,home_id,home_name,home_score,away_id,away_name,away_score,venue_full_name,is_postseason,season,season_type,home_win_pct,home_point_diff,home_recent_win_pct,home_recent_point_diff,away_win_pct,away_point_diff,away_recent_win_pct,away_recent_point_diff,home_playoff_wins,away_playoff_wins,playoff_wins,home_win_badness,away_win_badness,home_point_diff_badness,away_point_diff_badness,home_badness,away_badness,team_badness,total_points,scoring_mean,scoring_std,ideal_scoring,scoring_badness,actual_margin,team_quality,competitiveness,uncompetitiveness,scoring_entertainment,team_quality_weight,competitiveness_weight,scoring_weight,actual_watchability,uncompetitiveness_weight,team_weight,actual_slop,slop_percentile,watchability_percentile
400896602,2016-09-25 17:00:00+00:00,9,25,2016,19,Blues,7,29,Blue Jackets,3,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,10,,,,,4,,,,,,,,,,,,,
400896617,2016-09-25 23:00:00+00:00,9,25,2016,29,Blue Jackets,0,19,Blues,5,,0,2017,1,0.0,-4.0,0.0,-4.0,1.0,4.0,1.0,4.0,0,0,0,1.0,0.0,0.9,0.09999999999999998,,,,5,,,,,5,,,,,,,,,,,,,
400896625,2016-09-26 22:00:00+00:00,9,26,2016,21,Maple Leafs,3,14,Senators,6,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,9,,,,,3,,,,,,,,,,,,,
400896605,2016-09-26 23:00:00+00:00,9,26,2016,11,Devils,2,15,Flyers,0,,0,2017,1,,,,,0.0,-3.0,0.0,-3.0,0,0,0,,1.0,,0.8,,,,2,,,,,2,,,,,,,,,,,,,
400896619,2016-09-26 23:00:00+00:00,9,26,2016,1,Bruins,2,29,Blue Jackets,3,,0,2017,1,,,,,0.0,-4.5,0.0,-4.5,0,0,0,,1.0,,0.95,,,,5,,,,,1,,,,,,,,,,,,,
400896620,2016-09-26 23:00:00+00:00,9,26,2016,2,Sabres,1,30,Wild,2,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,3,,,,,1,,,,,,,,,,,,,
400896624,2016-09-26 23:00:00+00:00,9,26,2016,12,Islanders,3,15,Flyers,0,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,3,,,,,3,,,,,,,,,,,,,
400896626,2016-09-26 23:00:00+00:00,9,26,2016,23,Capitals,1,7,Hurricanes,2,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,3,,,,,1,,,,,,,,,,,,,
400896623,2016-09-26 23:30:00+00:00,9,26,2016,10,Canadiens,2,11,Devils,3,,0,2017,1,,,,,1.0,2.0,1.0,2.0,0,0,0,,0.0,,0.30000000000000004,,,,5,,,,,1,,,,,,,,,,,,,
400896622,2016-09-27 00:30:00+00:00,9,27,2016,9,Stars,3,19,Blues,1,,0,2017,1,,,,,1.0,4.5,1.0,4.5,0,0,0,,0.0,,0.050000000000000044,,,,4,,,,,2,,,,,,,,,,,,,
400896603,2016-09-27 01:00:00+00:00,9,27,2016,6,Oilers,4,3,Flames,2,,0,2017,1,1.0,1.0,1.0,1.0,,,,,0,0,0,0.0,,0.4,,,,,6,,,,,2,,,,,,,,,,,,,
400896621,2016-09-27 01:00:00+00:00,9,27,2016,3,Flames,1,6,Oilers,2,,0,2017,1,0.0,-2.0,0.0,-2.0,,,,,0,0,0,1.0,,0.7,,,,,3,,,,,1,,,,,,,,,,,,,
400896618,2016-09-27 02:00:00+00:00,9,27,2016,24,Coyotes,5,8,Kings,3,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,8,,,,,2,,,,,,,,,,,,,
400896604,2016-09-27 02:30:00+00:00,9,27,2016,8,Kings,4,24,Coyotes,3,,0,2017,1,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,2.0,0,0,0,1.0,0.0,0.7,0.30000000000000004,,,,7,,,,,1,,,,,,,,,,,,,
400896630,2016-09-27 19:30:00+00:00,9,27,2016,26,Panthers,4,27,Predators,1,,0,2017,1,,,,,,,,,0,0,0,,,,,,,,5,,,,,3,,,,,,,,,,,,,
400896606,2016-09-27 23:00:00+00:00,9,27,2016,15,Flyers,4,12,Islanders,0,,0,2017,1,0.0,-2.5,0.0,-2.5,1.0,3.0,1.0,3.0,0,0,0,1.0,0.0,0.75,0.19999999999999996,,,,4,,,,,4,,,,,,,,,,,,,
400896628,2016-09-27 23:00:00+00:00,9,27,2016,2,Sabres,3,14,Senators,2,,0,2017,1,0.0,-1.0,0.0,-1.0,1.0,3.0,1.0,3.0,0,0,0,1.0,0.0,0.6,0.19999999999999996,,,,5,,,,,1,,,,,,,,,,,,,
400896633,2016-09-27 23:00:00+00:00,9,27,2016,13,Rangers,5,12,Islanders,2,,0,2017,1,,,,,0.5,-0.5,0.5,-0.5,0,0,0,,0.5,,0.55,,,,7,,,,,3,,,,,,,,,,,,,
