game_id,date,month,day,year,home_id,home_name,home_score,away_id,away_name,away_score,venue_full_name,is_postseason,season,season_type,home_win_pct,home_point_diff,home_recent_win_pct,home_recent_point_diff,away_win_pct,away_point_diff,away_recent_win_pct,away_recent_point_diff,home_playoff_wins,away_playoff_wins,playoff_wins,home_win_badness,away_win_badness,home_point_diff_badness,away_point_diff_badness,home_badness,away_badness,team_badness,total_points,scoring_mean,scoring_std,ideal_scoring,scoring_badness,actual_margin,team_quality,competitiveness,uncompetitiveness,scoring_entertainment,team_quality_weight,competitiveness_weight,scoring_weight,actual_watchability,uncompetitiveness_weight,team_weight,actual_slop,slop_percentile,watchability_percentile
360909110,2016-09-09 23:05:00+00:00,9,9,2016,10,Yankees,7,30,Rays,5,Yankee Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,12,,,,,2,,,,,,,,,,,,,
360909120,2016-09-09 23:05:00+00:00,9,9,2016,20,Nationals,5,22,Phillies,4,Nationals Park,0,2016,2,,,,,,,,,0,0,0,,,,,,,,9,,,,,1,,,,,,,,,,,,,
360909123,2016-09-09 23:05:00+00:00,9,9,2016,23,Pirates,3,17,Reds,4,PNC Park,0,2016,2,,,,,,,,,0,0,0,,,,,,,,7,,,,,1,,,,,,,,,,,,,
360909114,2016-09-09 23:07:00+00:00,9,9,2016,14,Blue Jays,3,2,Red Sox,13,Rogers Centre,0,2016,2,,,,,,,,,0,0,0,,,,,,,,16,,,,,10,,,,,,,,,,,,,
360909128,2016-09-09 23:10:00+00:00,9,9,2016,28,Marlins,4,19,Dodgers,1,Marlins Park,0,2016,2,,,,,,,,,0,0,0,,,,,,,,5,,,,,3,,,,,,,,,,,,,
360909106,2016-09-09 23:10:00+00:00,9,9,2016,6,Tigers,4,1,Orioles,3,Comerica Park,0,2016,2,,,,,,,,,0,0,0,,,,,,,,7,,,,,1,,,,,,,,,,,,,
360909115,2016-09-09 23:35:00+00:00,9,9,2016,15,Braves,4,21,Mets,6,Center Parc Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,10,,,,,2,,,,,,,,,,,,,
360909104,2016-09-10 00:10:00+00:00,9,10,2016,4,White Sox,7,7,Royals,2,Rate Field,0,2016,2,,,,,,,,,0,0,0,,,,,,,,9,,,,,5,,,,,,,,,,,,,
360909109,2016-09-10 00:10:00+00:00,9,10,2016,9,Twins,4,5,Indians,5,Target Field,0,2016,2,,,,,,,,,0,0,0,,,,,,,,9,,,,,1,,,,,,,,,,,,,
360909118,2016-09-10 00:10:00+00:00,9,10,2016,18,Astros,0,16,Cubs,2,Daikin Park,0,2016,2,,,,,,,,,0,0,0,,,,,,,,2,,,,,2,,,,,,,,,,,,,
