game_id,date,month,day,year,home_id,home_name,home_score,away_id,away_name,away_score,venue_full_name,is_postseason,season,season_type,home_win_pct,home_point_diff,home_recent_win_pct,home_recent_point_diff,away_win_pct,away_point_diff,away_recent_win_pct,away_recent_point_diff,home_playoff_wins,away_playoff_wins,playoff_wins,home_win_badness,away_win_badness,home_point_diff_badness,away_point_diff_badness,home_badness,away_badness,team_badness,total_points,scoring_mean,scoring_std,ideal_scoring,scoring_badness,actual_margin,team_quality,competitiveness,uncompetitiveness,scoring_entertainment,team_quality_weight,competitiveness_weight,scoring_weight,actual_watchability,uncompetitiveness_weight,team_weight,actual_slop,slop_percentile,watchability_percentile
400874522,2016-09-11 17:00:00+00:00,9,11,2016,1,Falcons,24,27,Buccaneers,31,Georgia Dome,0,2016,2,,,,,,,,,0,0,0,,,,,,,,55,,,,,7,,,,,,,,,,,,,
400874524,2016-09-11 17:00:00+00:00,9,11,2016,10,Titans,16,16,Vikings,25,Nissan Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,41,,,,,9,,,,,,,,,,,,,
400874570,2016-09-11 17:00:00+00:00,9,11,2016,12,Chiefs,33,24,Chargers,27,Arrowhead Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,60,,,,,6,,,,,,,,,,,,,
400874543,2016-09-11 17:00:00+00:00,9,11,2016,18,Saints,34,13,Raiders,35,Caesars Superdome,0,2016,2,,,,,,,,,0,0,0,,,,,,,,69,,,,,1,,,,,,,,,,,,,
400874527,2016-09-11 17:00:00+00:00,9,11,2016,20,Jets,22,4,Bengals,23,MetLife Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,45,,,,,1,,,,,,,,,,,,,
400874520,2016-09-11 17:00:00+00:00,9,11,2016,21,Eagles,29,5,Browns,10,Lincoln Financial Field,0,2016,2,,,,,,,,,0,0,0,,,,,,,,39,,,,,19,,,,,,,,,,,,,
400874486,2016-09-11 17:00:00+00:00,9,11,2016,30,Jaguars,23,9,Packers,27,EverBank Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,50,,,,,4,,,,,,,,,,,,,
400874510,2016-09-11 17:00:00+00:00,9,11,2016,33,Ravens,13,2,Bills,7,M&T Bank Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,20,,,,,6,,,,,,,,,,,,,
400874511,2016-09-11 17:00:00+00:00,9,11,2016,34,Texans,23,3,Bears,14,Reliant Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,37,,,,,9,,,,,,,,,,,,,
400874577,2016-09-11 20:05:00+00:00,9,11,2016,26,Seahawks,12,15,Dolphins,10,Lumen Field,0,2016,2,,,,,,,,,0,0,0,,,,,,,,22,,,,,2,,,,,,,,,,,,,
400874574,2016-09-11 20:25:00+00:00,9,11,2016,6,Cowboys,19,19,Giants,20,AT&T Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,39,,,,,1,,,,,,,,,,,,,
400874573,2016-09-11 20:25:00+00:00,9,11,2016,11,Colts,35,8,Lions,39,Lucas Oil Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,74,,,,,4,,,,,,,,,,,,,
400874539,2016-09-12 00:30:00+00:00,9,12,2016,22,Cardinals,21,17,Patriots,23,State Farm Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,44,,,,,2,,,,,,,,,,,,,
400874537,2016-09-12 23:10:00+00:00,9,12,2016,28,Redskins,16,23,Steelers,38,Northwest Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,54,,,,,22,,,,,,,,,,,,,
400874532,2016-09-13 02:20:00+00:00,9,13,2016,25,49ers,28,14,Rams,0,Levi's Stadium,0,2016,2,,,,,,,,,0,0,0,,,,,,,,28,,,,,28,,,,,,,,,,,,,
